endTime,artistName,trackName,msPlayed
2019-11-01 23:46,Jon Bellion,Blu - Acoustic,48052
2019-11-02 00:36,"Tyler, The Creator",IGOR'S THEME,200693
2019-11-02 00:39,"Tyler, The Creator",EARFQUAKE,190066
2019-11-02 00:42,"Tyler, The Creator",I THINK,212013
2019-11-02 00:43,"Tyler, The Creator",EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,14626
2019-11-02 00:45,"Tyler, The Creator",RUNNING OUT OF TIME,177226
2019-11-02 00:49,"Tyler, The Creator",NEW MAGIC WAND,195320
2019-11-02 00:52,"Tyler, The Creator",A BOY IS A GUN*,210253
2019-11-02 00:55,"Tyler, The Creator",PUPPET,179013
2019-11-02 00:59,"Tyler, The Creator",WHAT'S GOOD,205626
2019-11-02 01:11,"Tyler, The Creator","GONE, GONE / THANK YOU",375386
2019-11-02 01:14,"Tyler, The Creator",ARE WE STILL FRIENDS?,783
2019-11-02 01:14,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,161200
2019-11-02 02:29,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,159250
2019-11-02 02:33,"Tyler, The Creator",ARE WE STILL FRIENDS?,265480
2019-11-02 11:06,"Tyler, The Creator",Glitter,170650
2019-11-02 11:10,Sure Sure,This Must Be The Place,219260
2019-11-02 11:13,Sturgill Simpson,Sing Along,174568
2019-11-02 11:18,Pigeons Playing Ping Pong,F.U.,281000
2019-11-02 11:21,Magic City Hippies,Franny,195253
2019-11-02 11:24,Coast Modern,Guru,204066
2019-11-02 11:27,The Dip,Slow Sipper,180386
2019-11-02 11:31,Samm Henshaw,Broke,207722
2019-11-02 11:34,Galactic,Going Straight Crazy (feat. Princess Shaw),207989
2019-11-02 11:38,Briston Maroney,Freakin' Out On the Interstate,251906
2019-11-02 11:43,The Revivalists,Wish I Knew You,274093
2019-11-02 11:47,Max Frost,Adderall,218025
2019-11-02 11:51,Dr. Dog,Where'd All the Time Go?,234800
2019-11-02 11:53,Your Smith,The Spot,171382
2019-11-02 11:57,Abhi The Nomad,Floors,210340
2019-11-02 12:00,Bay Ledges,Straight Jacket,205065
2019-11-02 12:04,The Revivalists,Change,229453
2019-11-02 12:07,Mt. Joy,Astrovan,186133
2019-11-02 12:11,Rainbow Kitten Surprise,Cocaine Jesus,229666
2019-11-02 12:22,Bryce Vine,Sunflower Seeds,228610
2019-11-02 12:30,Michigan Rattlers,Strain of Cancer,127172
2019-11-02 12:46,Sure Sure,This Must Be The Place,82988
2019-11-02 12:46,Dr. Dog,Heart It Races - Cover Version,10495
2019-11-02 12:47,Netherfriends,Uptown Boys,1230
2019-11-02 12:47,The Polarity,Son of a Beach,2693
2019-11-02 12:47,Sure Sure,Friends,6524
2019-11-02 12:47,Miya Folick,Deadbody,3506
2019-11-02 12:47,Des Rocs,Outta My Mind,4388
2019-11-02 12:47,The Wood Brothers,Luckiest Man,3691
2019-11-02 12:47,Fruit Bats,Humbug Mountain Song,3854
